sg_data_point,time,pressure,depth,temperature,conductivity,salinity,sigma_theta,density,latitude,longitude,buoyancy,speed,glide_angle,horz_speed,vert_speed,polar_heading
237,2023-05-12 19:52:35.379000064,94.12098458312263,93.31239546765065,8.637295377200193,3.196145497389928,29.885524004453874,23.17552089458559,1023.1741892911002,47.721827410704186,-122.39793451988083,213.88414825091283,32.9212368897529,18.82422884196283,31.160375334146174,10.622563126965254,1.7348572764823642
238,2023-05-12 19:52:45.378000128,92.9232092472878,92.12517766599494,8.636818528474812,3.1960947222791156,29.88546583105494,23.175527293308505,1023.174212836269,47.72186213764478,-122.3979362870329,214.12581262209414,32.779933918746394,18.70249218802426,31.049033144260633,10.511023191106801,1.6423548261266645
239,2023-05-12 19:52:55.379000064,91.80595662310571,91.01776661535533,8.651136206738324,3.196045220152848,29.87394832364336,23.164423319911407,1023.163122369839,47.7218969333396,-122.39793361102656,213.79161072421465,32.6379813791439,18.59236840347426,30.93463404369719,10.406067705328221,1.5201817784870615
240,2023-05-12 19:53:05.378000128,90.71890001579342,89.94027983931342,8.669723131140174,3.1965922898784704,29.86509597061783,23.154785534023404,1023.1534967571052,47.72193160412564,-122.39792711866345,213.54718315005488,32.58411035007563,18.556827041982462,30.890012926421353,10.369732335572973,1.457349925415265
241,2023-05-12 19:53:15.378000128,89.58151671369814,88.8129033408673,8.668702481534574,3.1964420877097797,29.864125233230354,23.154157429498582,1023.1528851429046,47.72196608257749,-122.39791870368414,213.75274936074047,32.45979308145112,18.439716162952163,30.793209366592475,10.267250060061034,1.4259339988793671
242,2023-05-12 19:53:25.378000128,88.47432942847269,87.71545122413961,8.670176689590045,3.196242860483873,29.861202689403097,23.151640325521385,1023.150383685388,47.72200047882877,-122.39790994170707,214.14530929168595,32.42213630437616,18.381948911673202,30.76781009487325,10.224323180795992,1.4398966328953218
243,2023-05-12 19:53:35.379000064,87.31681544846421,86.56810862505036,8.669303474457301,3.1961430821818557,29.861081272034138,23.151655355721005,1023.1504154199775,47.72203500867924,-122.39790202460118,214.42051578399122,32.617960040880725,18.52372295473156,30.92809515822761,10.36263707326034,1.4678219009272315
244,2023-05-12 19:53:45.378000128,86.20962816323873,85.4706444650506,8.669323511384633,3.196092326842735,29.860904472863286,23.15149825554431,1023.1502741325049,47.72206966640254,-122.39789393642224,214.68878883277705,32.81425809338741,18.66629613641406,31.088185863607105,10.502391819450482,1.4329153158873449
245,2023-05-12 19:53:55.379000064,85.15276757279624,84.42305954685138,8.669217264449731,3.196142422264994,29.861740481155852,23.15215293753579,1023.1509438907535,47.722104384204634,-122.39788514493385,214.97625485035374,32.9343456157466,18.749847901132544,31.186552261574437,10.586315656239128,1.4346606451393387
246,2023-05-12 19:54:05.378000128,84.01538427070095,83.29565264095866,8.671169377011656,3.1957443306619653,29.856383891536996,23.147660932242616,1023.1464679676436,47.722139150694915,-122.39787623322908,215.00290383923615,32.975274434476795,18.774497213772168,31.220746122284606,10.612904201815342,1.4276793281313618
247,2023-05-12 19:54:15.378000128,82.91826232443206,82.20814805608615,8.67547818212797,3.195743949155923,29.85344228712136,23.144717986723663,1023.1435400129495,47.72217388129922,-122.3978671090569,215.1041177844354,32.891762891382854,18.69565175612609,31.156216086548994,10.54316201484241,1.4241886696273733
248,2023-05-12 19:54:25.379000064,81.80100970024999,81.10068331638541,8.677486601394413,3.1955937444939817,29.85052414501133,23.142126667263028,1023.1409643981442,47.72220848728219,-122.3978573158552,215.2187489225504,32.81689527918967,18.62465856833786,31.09830895412523,10.480639100697818,1.3945180723434698
249,2023-05-12 19:54:35.379000064,80.6837570760679,79.99321258019694,8.682953466369396,3.195443508148591,29.845113915088422,23.13708300990686,1023.1359359308833,47.722242931804395,-122.39784634955454,215.20938424497123,32.82958909952356,18.63272633246074,31.108861364370835,10.489073603322254,1.3665928043115603
250,2023-05-12 19:54:45.378000128,79.60676580771222,78.92564502292633,8.690795702270067,3.195592938042529,29.840792950896706,23.132547441464112,1023.1314145423056,47.72227721908501,-122.39783417296873,215.21958880773346,32.86192404479199,18.66168554079548,31.134190779667133,10.51514224444768,1.335176877775662
251,2023-05-12 19:54:55.378000128,78.43918648874715,77.76827576838227,8.698293480111905,3.195642917637196,29.835355605192376,23.127186332671158,1023.1260690394486,47.72231128160462,-122.39782062299304,215.18767074120547,32.831040322170956,18.644722991383908,31.108039528936054,10.496050938432374,1.2985249634837819
252,2023-05-12 19:55:05.378000128,77.44271793204422,76.78051579344611,8.707874280383914,3.195293822293813,29.82386292062881,23.11678542164077,1023.1156811723217,47.72234511782915,-122.39780603816911,214.84619260911504,32.75532176358569,18.59839721432007,31.04475147547853,10.446746367257324,1.2828170002158321
253,2023-05-12 19:55:15.378000128,76.37579200264511,75.7229089155358,8.714183632275494,3.1946955069680856,29.81347404127511,23.10772251036974,1023.1066328537787,47.72237888740396,-122.39779133091668,214.60160141694496,32.72082779347846,18.58122004215614,31.015186096509854,10.426447280322028,1.2915436464758039
254,2023-05-12 19:55:30.916000000,74.72507641376349,74.08660070463714,8.714694661277097,3.1946459872106776,29.812761331648982,23.1070667794329,1023.1060007266655,47.72242226899414,-122.39777465737967,214.9534711945359,32.56345514682882,18.431274816139666,30.893066270988992,10.295487724037882,1.3508848410436116
255,2023-05-12 19:55:40.915000064,73.66821582332099,73.03895747538199,8.715182064743988,3.1945952494876733,29.81209447316337,23.106458879719867,1023.1054079190924,47.722465995240256,-122.397761581647,215.18697310319,32.377345031967046,18.255478305889138,30.747766670426927,10.14235259197905,1.4678219009272315
256,2023-05-12 19:55:50.915000064,72.61135523287848,71.99130887903998,8.715406858487405,3.1944955096139838,29.811135832971654,23.105660813138115,1023.1046249956601,47.72250063528503,-122.39775711626454,215.39969235015397,32.64278159243033,18.48970195407863,30.95778309621682,10.352142573337204,1.6074482410867779
257,2023-05-12 19:56:05.915000064,70.92037828817048,70.31505996091515,8.718331855280391,3.1941967339538735,29.806002305066617,23.1011937674881,1023.1001818925091,47.72254441926234,-122.39775895640118,215.54696861476407,33.649066853060084,19.343687097714184,31.749532121760975,11.145712634505472,1.7278759594743862
258,2023-05-12 19:56:15.915000064,69.83332168085816,69.23746411469651,8.722941329425183,3.1936489110450412,29.797460194053805,23.09382284795379,1023.0928261179071,47.72258830869293,-122.39776400916392,215.4117948889439,33.62328953148925,19.299103042823557,31.733866623408353,11.112484332771126,1.7592918860102844
259,2023-05-12 19:56:25.915000064,68.62548100606675,68.04012873631022,8.723326648361782,3.1935995340262298,29.79694882368791,23.093349297283567,1023.0923698402969,47.72262316320865,-122.3977692029089,215.6545658366154,33.319447933446675,19.017978376930078,31.500751571243985,10.857636070362343,1.7784905077822224
260,2023-05-12 19:56:35.915000064,67.60888177145061,67.032366025617,8.724337647641937,3.193400408366496,29.7944064428011,23.091198051248398,1023.0902330947074,47.72265779826929,-122.39777500565306,215.786974208173,33.23852219701596,18.932516033712734,31.44036399910131,10.784380809556795,1.7907078125461826
261,2023-05-12 19:56:45.916000000,66.380910418746,65.81506187055089,8.725259780759314,3.1933006251256217,29.793015735120704,23.08995797374166,1023.0890105257207,47.722692366566925,-122.39778093676362,215.99329446692823,33.17588723144386,18.87523802270191,31.391862536630736,10.732681867770019,1.7854718247901993
